,LTP,STP,FN
0,5,168,9
1,5,169,11
2,5,170,10
3,5,171,13
4,5,172,9
5,5,173,8
6,5,174,18
7,5,175,8
8,5,176,0
9,5,180,3079
10,5,181,2831
11,5,182,6761
12,6,183,1578
13,6,184,329
14,6,191,1875
15,6,192,811
16,6,193,613
17,6,195,2875
18,6,196,729
19,6,197,330
20,7,198,2496
21,7,199,133
22,7,200,230
23,7,201,380
24,7,202,383
25,7,203,415
26,7,204,629
27,7,205,349
28,7,206,180
29,7,207,815
30,7,208,684
31,7,209,430
32,8,210,435
33,8,211,676
34,8,212,472
35,8,213,440
36,8,214,425
37,8,215,471
38,8,216,444
39,8,217,420
40,8,218,395
41,8,219,210
42,8,220,95
43,8,221,495
44,8,222,504
45,8,223,380
46,9,224,705
47,9,225,380
48,9,226,2788
49,9,227,1960
50,9,228,12
51,9,229,4399
52,9,230,645
53,9,231,570
54,9,232,714
55,9,233,733
56,9,234,860
57,9,235,1063
58,9,236,1120
59,10,237,445
60,10,238,445
61,10,239,445
62,10,240,205
63,10,241,445
64,10,242,1677
65,10,243,1809
66,10,244,1560
67,10,245,1871
68,10,246,1871
69,10,247,1871
70,11,248,528
71,11,249,260
72,11,250,1
73,11,251,1815
74,11,252,4698
75,11,253,3318
76,11,254,1189
77,11,255,378
78,11,256,242
79,11,257,0
80,11,258,231
81,11,259,231
82,11,260,212
83,11,261,369
84,11,262,291
85,11,263,287
86,12,264,305
87,12,265,338
88,12,266,230
89,12,267,203
90,12,268,231
91,12,269,225
92,12,270,231
93,12,271,231
94,12,272,231
95,12,273,212
96,12,274,240
97,12,275,213
98,12,276,231
99,13,277,797
100,13,278,3031
101,13,279,4067
102,13,280,1187
103,13,281,2213
104,13,282,1608
105,13,283,872
106,13,284,1805
107,13,285,877
108,13,286,1989
109,13,287,1099
110,13,288,678
111,13,289,2712
112,14,290,1098
113,14,291,877
114,14,292,712
115,14,293,1606
116,14,294,1103
117,14,295,877
118,14,296,877
119,14,297,870
120,14,298,877
121,14,299,1208
122,15,300,3709
123,15,301,417
124,15,302,3191
125,15,303,1565
126,15,304,1820
127,15,305,647
128,15,306,905
129,15,307,659
130,15,308,473
131,15,309,431
132,15,310,477
133,15,311,666
134,15,312,834
135,15,313,800
136,15,314,613
137,15,315,133
138,16,316,114
139,16,317,76
140,16,318,25
141,16,319,75
142,16,320,25
143,16,321,25
144,16,322,27
145,16,323,22
146,16,324,28
147,16,325,23
148,16,326,51
149,16,327,35
150,17,328,310
151,17,329,578
152,17,331,470
153,17,332,223
154,17,333,169
155,17,334,206
156,17,335,203
157,17,336,203
158,17,337,82
159,17,338,163
160,17,339,523
161,17,340,546
